,expectedElevation,measuredElevation,elevationCalculatedAngle1,times_x,nasmyth2CalculatedAngle,times_y,position0,position1,position2,position3,position4,imageName,requestedExposureTime,additionalKeys,additionalValues,reportedPosition0,reportedPosition1,reportedPosition2,reportedPosition3,reportedPosition4,reportedPosition5,m1_tip,m1_tilt,m1_piston,m1_y_pos,m1_x_pos,xcentroid,ycentroid
2021-07-08 05:33:08.073000+00:00,77.79116058077973,77.8539353677946,77.93673580724862,1625722350.9818308,-4.839181368792197,1625722351.0698285,-1.17,0.425,-21.683,0.099,8.692,AT_O_20210707_000372,5.0,groupId:imageType,2021-07-08T05\:32\:55.330:OBJECT,-3.67854745704,2.14437259269,-1.22767261291,0.349999286699,0.219999514159,-2.35938717624e-07,-3.138627036898389,-0.9009756767096195,0.005668122683080371,-0.03545307910843952,0.027574617084341793,1991.2606464380451,2197.711491530211
2021-07-08 05:42:42.167000+00:00,69.15947076352124,69.21622125146705,69.31075966199569,1625722925.0883238,-5.256952633702895,1625722925.157322,-1.162,0.426,-21.684,0.099,8.688,AT_O_20210707_000382,5.0,groupId:imageType,2021-07-08T05\:42\:29.409:OBJECT,-3.65782190446,2.25288692839,-1.22529020031,0.350000165023,0.219999438157,9.35771623134e-08,-2.1009540899463466,-0.6979135045790831,0.004001127858991142,-0.02757461708434185,0.028559424837354002,2379.6999097527437,1897.5270162077159
2021-07-08 05:49:13.382000+00:00,59.55902780490294,59.62189036462181,59.716280309759895,1625723316.291012,-2.6823963127972092,1625723316.376013,-1.123,0.452,-21.684,0.098,8.688,AT_O_20210707_000389,5.0,groupId:imageType,2021-07-08T05\:49\:00.634:OBJECT,-3.78432477966,2.35260454924,-1.22214936101,0.349999535696,0.219998468278,7.15546700346e-07,-2.3411661798674075,-0.5298371773790701,0.0036675229069032915,0.010832885283134188,0.054164426415671436,1976.530762052725,2086.3283220831113
2021-07-08 05:58:56.982000+00:00,50.989725955386376,51.04823419444407,51.141609458529274,1625723899.894527,-2.8893334321619477,1625723899.9725227,-1.081,0.487,-21.685,0.094,8.706,AT_O_20210707_000398,5.0,groupId:imageType,2021-07-08T05\:58\:44.236:OBJECT,-3.83933310497,2.28979417696,-1.2117278294,0.34999960402,0.21999860625,1.3433429928e-06,-8.112387874392828,-2.3761520247947665,0.008003839966426677,0.05219481090964696,0.0886326977710987,2016.2898380289757,2156.089400952799
2021-07-08 06:07:34.461000+00:00,40.80739963876787,40.84696423717724,40.93358775816159,1625724417.3977458,-2.8528245441557374,1625724417.460749,-1.058,0.494,-21.648,0.364,8.961,AT_O_20210707_000406,5.0,groupId:imageType,2021-07-08T06\:07\:21.682:OBJECT,-2.80204284937,2.23774469552,-1.38511474586,0.350000100798,0.219998869335,9.43380092506e-07,-10.091793200312857,-68.5073313621719,0.1954440442050781,0.07484538922892765,0.09552635204218415,1999.8599270773993,1846.2786288875263
2021-07-08 06:14:55.949000+00:00,28.32074223762116,28.353962044733464,28.439316807605792,1625724858.904642,-2.2469510786177125,1625724858.946639,-1.033,0.515,-21.632,0.478,9.02,AT_O_20210707_000414,5.0,groupId:imageType,2021-07-08T06\:14\:43.184:OBJECT,-2.44595413606,2.41994751734,-1.419765574,0.349998318193,0.219999210161,1.3002409207e-06,2.0187193204225156,-90.29846000221397,0.2584792596348877,0.09946558305423299,0.11620731485544054,2106.848298320046,1714.3889609513355
2021-07-08 06:22:08.580000+00:00,23.686334083357817,23.71786310459227,23.805702386714984,1625725291.5114913,-2.145340730989119,1625725291.5754924,-1.029,0.518,-21.563,0.529,9.059,AT_O_20210707_000421,5.0,groupId:imageType,2021-07-08T06\:21\:55.836:OBJECT,-2.46702726486,2.54748309732,-1.42472615909,0.350000221677,0.219999873398,2.83101736122e-06,5.669510271706742,-83.56170231640499,0.31146837273553896,0.10340481406628182,0.11916173811447717,2365.347744430221,1895.3140454215581
2021-07-08 06:28:23.935000+00:00,36.03479741306687,36.06756319592774,36.152323542453814,1625725666.9150977,-2.1316167615295853,1625725666.9300938,-1.028,0.517,-21.641,0.437,9.003,AT_O_20210707_000428,5.0,groupId:imageType,2021-07-08T06\:28\:11.181:OBJECT,-2.60328573766,2.33866821043,-1.40518739269,0.349999956405,0.220000614636,-2.67680478686e-07,-3.5415052717369644,-83.93031600327984,0.23613563509827287,0.10438962181929393,0.11817693036146495,2047.2306948983623,1910.727359651032
2021-07-08 06:34:59.805000+00:00,42.54866719859455,42.586631692925614,42.67309194646077,1625726062.7668018,-2.329363962257048,1625726062.8047945,-1.031,0.514,-21.656,0.337,8.934,AT_O_20210707_000435,5.0,groupId:imageType,2021-07-08T06\:34\:47.057:OBJECT,-3.04891730346,2.27659975163,-1.34450207668,0.350000552896,0.219999819237,3.51213832861e-07,-9.605237481690601,-62.963337879630686,0.17476841819962236,0.1014351985602574,0.11522250710242833,2111.4840721985897,1902.0443050546978
2021-07-08 06:41:30.400000+00:00,52.15228829518637,52.20457019368001,52.294548956953804,1625726453.36947,-2.571862479293486,1625726453.3934662,-1.046,0.502,-21.687,0.094,8.702,AT_O_20210707_000442,5.0,groupId:imageType,2021-07-08T06\:41\:17.631:OBJECT,-3.91014060592,2.2920094831,-1.20363128392,0.350000550202,0.219999288008,6.93704884683e-07,-7.100323124424896,-2.464879012962653,0.0060039833531504985,0.08666308226507416,0.10340481406628182,2288.061833774106,2144.8357779633743
