,intra,extra,inFocus5s,inFocusExpTime5s,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,filter,rot_pos,el,az,x,y,z,u,v,w,m1
2022-03-17 00:19:32.984000+00:00,AT_O_20220316_000227,AT_O_20220316_000228,AT_O_20220316_000229,5.0,1647476498.309,1647476377.3387282,1647476447.491,empty_1,-0.4264858026702275,60.41482003567052,180.67690080239208,-3.73750285027,1.82684239691,-1.1537567791,0.350000582419,0.22000036795150002,4.63601963795e-07,100610.09359252932
2022-03-17 00:55:43.049000+00:00,AT_O_20220316_000246,AT_O_20220316_000247,AT_O_20220316_000248,5.0,1647478669.113,1647478547.4200077,1647478617.23,SDSSg,-0.966823230637364,32.10556308832652,254.94233096538844,-3.70416195336,1.8923216442,-1.14426249297,0.3499987558765,0.220000610836,-5.40489785459e-07,53838.47002005439
2022-03-17 03:06:03.260000+00:00,AT_O_20220316_000412,AT_O_20220316_000413,AT_O_20220316_000414,5.0,1647486488.002,1647486367.629936,1647486437.404,SDSSg,-1.7002442254418773,28.273187563380635,180.7439590970969,-3.75568699522,1.80393737735,-1.14633674174,0.350000134741,0.22,-3.93565707219e-07,45146.88703717913
2022-03-17 05:26:18.421000+00:00,AT_O_20220316_000622,AT_O_20220316_000623,AT_O_20220316_000624,5.0,1647494903.454,1647494782.7688618,1647494853.272,SDSSg,-0.6489033448884123,58.25663929599301,131.42499049464905,-3.72026422666,1.87778845166,-1.18371915045,0.35,0.220000814877,-7.21420236786e-07,97610.19339341715
2022-03-17 05:37:17.056000+00:00,AT_O_20220316_000635,AT_O_20220316_000636,AT_O_20220316_000637,5.0,1647495565.001,1647495441.4220657,1647495511.97,SDSSg,-0.5190190985197494,60.02125724025983,132.70240054684888,-3.74308235617,1.92826423555,-1.18690327319,0.349999649043,0.219999446826,1.31031495311e-06,100067.92359165737
2022-03-17 05:48:14.874000+00:00,AT_O_20220316_000648,AT_O_20220316_000649,AT_O_20220316_000650,5.0,1647496221.702,1647496099.2363622,1647496170.007,SDSSg,-0.5637742429590475,64.11964592514526,130.0484520920602,-3.75681139194,1.93619683308,-1.19493400244,0.349999991455,0.22000054203,-7.17382050447e-07,105112.05541381838
2022-03-17 06:14:29.745000+00:00,AT_O_20220316_000673,AT_O_20220316_000674,AT_O_20220316_000675,5.0,1647497799.027,1647497674.0996418,1647497744.939,SDSSg,-0.8476097305906088,68.30284018655512,135.49245978242232,-3.70465344408,1.90115363664,-1.20383397972,0.350000593954,0.22,9.10422153335e-07,109773.62929391045
2022-03-17 06:25:23.857000+00:00,AT_O_20220316_000686,AT_O_20220316_000687,AT_O_20220316_000688,5.0,1647498451.001,1647498328.2161937,1647498398.985,SDSSg,-0.9470548530733934,67.14070411560164,142.1163402213916,-3.66237079099,1.90111249484,-1.2064893486,0.349999309979,0.219999903899,1.06253213832e-07,108575.54691353932
2022-03-17 06:36:12.028000+00:00,AT_O_20220316_000699,AT_O_20220316_000700,AT_O_20220316_000701,5.0,1647499098.706,1647498976.3703542,1647499046.65,SDSSg,-1.1847420259183439,71.39970889315093,142.408067330606,-3.69893412216,1.91054665639,-1.21236469787,0.35,0.219999952451,1.37994748968e-06,112904.97140572684
2022-03-17 06:46:58.341000+00:00,AT_O_20220316_000712,AT_O_20220316_000713,AT_O_20220316_000714,5.0,1647499745.443,1647499622.704329,1647499693.17,SDSSg,-1.3970891604157785,72.75092064209211,146.91956068528305,-3.67737826337,1.93091474143,-1.2155848916,0.350000812081,0.220000204259,9.67902353908e-07,114232.86998514524
2022-03-17 06:57:40.221000+00:00,AT_O_20220316_000725,AT_O_20220316_000726,AT_O_20220316_000727,5.0,1647500387.189,1647500264.5777965,1647500334.923,SDSSg,-1.6091337011260163,73.92576157673986,152.22816816599163,-3.63653642406,1.85531657153,-1.21899667881,0.350000223161,0.220000328638,-1.72705568259e-08,115242.91233258932
2022-03-17 07:08:16.574000+00:00,AT_O_20220316_000738,AT_O_20220316_000739,AT_O_20220316_000740,5.0,1647501023.289,1647500900.9337516,1647500971.247,SDSSg,-1.8253454101787598,74.88941870868541,158.34210071864135,-3.55168519064,1.93669212575,-1.22653614318,0.350000116894,0.220000801808,4.02804891688e-07,116129.47664743346
2022-03-17 07:18:47.731000+00:00,AT_O_20220316_000751,AT_O_20220316_000752,AT_O_20220316_000753,5.0,1647501656.283,1647501532.0922346,1647501602.532,SDSSg,-1.8673033436433928,73.65358817843185,171.51884525363255,-3.67563532258,1.9618989768,-1.22805544659,0.349999506852,0.220000984529,-2.02231474139e-07,114914.83992971497
2022-03-17 07:29:14.126000+00:00,AT_O_20220316_000764,AT_O_20220316_000765,AT_O_20220316_000766,5.0,1647502281.158,1647502158.4893916,1647502229.001,SDSSg,-1.769053385612538,73.10024980615188,169.49698920748364,-3.69643699294,1.96846606066,-1.22208313175,0.349999303601,0.219998669186,6.4656836685e-07,114407.30863717211
2022-03-17 07:56:06.237000+00:00,AT_O_20220316_000789,AT_O_20220316_000790,AT_O_20220316_000791,5.0,1647503893.117,1647503770.5901232,1647503840.9,SDSSg,-1.807445359969071,73.24117850246111,194.13409840864355,-3.64807751453,1.90325979779,-1.22308463849,0.35,0.220001705764,1.39954516666e-07,114682.34636561804
2022-03-17 08:08:29.055000+00:00,AT_O_20220316_000802,AT_O_20220316_000803,AT_O_20220316_000804,5.0,1647504637.512,1647504513.4153252,1647504583.754,SDSSg,-1.7430782348915403,72.93989240750567,192.58712708540926,-3.63857748712,1.94102710479,-1.22027821958,0.350000841248,0.22,3.32691420947e-08,114405.2045234026
2022-03-17 08:18:17.767000+00:00,AT_O_20220316_000815,AT_O_20220316_000816,AT_O_20220316_000817,5.0,1647505224.698,1647505102.1230986,1647505172.618,SDSSg,-1.5657138706557534,71.59431475283361,205.58452367489852,-3.6354287602,1.93194921455,-1.21963543791,0.349999022077,0.219999359503,4.94518750732e-07,113288.70163975307
2022-03-17 08:27:53.431000+00:00,AT_O_20220316_000828,AT_O_20220316_000829,AT_O_20220316_000830,5.0,1647505800.246,1647505677.7916079,1647505748.218,SDSSg,-1.5338880950790814,71.6600344186391,202.6602661334554,-3.55600917309,1.90125036847,-1.22301067219,0.349999951142,0.21999968345,-4.59692174541e-07,113326.56002317615
2022-03-17 08:37:23.551000+00:00,AT_O_20220316_000841,AT_O_20220316_000842,AT_O_20220316_000843,5.0,1647506372.518,1647506247.9006715,1647506318.652,SDSSg,-1.4466123154508213,70.79529351466086,206.9380749669791,-3.52052318828,1.88065692885,-1.22131871419,0.35,0.22,-1.97444389304e-06,112373.3964855785
2022-03-17 08:46:51.206000+00:00,AT_O_20220316_000854,AT_O_20220316_000855,AT_O_20220316_000856,5.0,1647506941.037,1647506815.5689564,1647506886.345,SDSSg,-1.3588101107034682,69.80530953673691,210.7350967208728,-3.55485874531,1.87535472589,-1.21338264894,0.35,0.219999565425,0.0,111519.8968156841
2022-03-17 08:56:12.532000+00:00,AT_O_20220316_000867,AT_O_20220316_000868,AT_O_20220316_000869,5.0,1647507500.659,1647507376.8896606,1647507447.601,SDSSg,-1.2546390512926195,68.71651463660113,214.057246361828,-3.58335244005,1.87971565083,-1.21140013013,0.350000385951,0.220001218377,-3.45077805596e-07,110245.57439188349
2022-03-17 09:05:21.039000+00:00,AT_O_20220316_000880,AT_O_20220316_000881,AT_O_20220316_000882,5.0,1647508048.47,1647507925.4030287,1647507995.466,SDSSg,-1.0061347345687517,65.8462439973662,221.52312506798472,-3.6115385255,1.8200780954,-1.21007927896,0.35,0.219999776849,0.0,108578.07185006274
2022-03-17 09:14:12.483000+00:00,AT_O_20220316_000893,AT_O_20220316_000894,AT_O_20220316_000895,5.0,1647508580.3,1647508456.8486488,1647508527.708,SDSSg,-0.9346716575686079,64.54758845089502,223.45458316887132,-3.64518221282,1.82338209118,-1.20683995537,0.349999928242,0.220001365039,3.71882150756e-07,105725.19712980029
2022-03-18 00:20:56.393000+00:00,AT_O_20220317_000220,AT_O_20220317_000221,AT_O_20220317_000222,5.0,1647562981.658164,1647562860.760986,1647562930.7287638,empty_1,-1.261797733489532,59.72194461791597,180.9716967793061,-3.74402205845,2.02698963573,-1.14359387941,0.350000179911,0.22000071877,-6.40237300855e-07,99619.47682983398
2022-03-18 00:33:05.567000+00:00,AT_O_20220317_000227,AT_O_20220317_000228,AT_O_20220317_000229,5.0,1647563710.0603251,1647563589.9308558,1647563660.0739288,SDSSg,-2.1702925902309027,60.220984242332634,185.09023726642232,-3.67068861542,2.05703821621,-1.16908878045,0.350001190562,0.220000663894,1.88906975197e-07,100288.04395071845
2022-04-05 23:41:14.702000+00:00,AT_O_20220405_000211,AT_O_20220405_000212,AT_O_20220405_000213,5.0,1649202199.0622196,1649202079.0650504,1649202148.863422,empty_1,-1.2426270532731516,60.0529843552932,-178.3403551938717,-3.75837140463,2.19836325881,-1.17310626728,0.350000284314,0.220000599461,1.43465744897e-06,100943.50544869559
2022-04-06 00:07:36.367000+00:00,AT_O_20220405_000217,AT_O_20220405_000218,AT_O_20220405_000219,5.0,1649203784.006503,1649203660.6788762,1649203730.9848921,SDSSg,-1.1080560065743548,60.72775309267724,-170.85205702679897,-3.66032950336,2.22932592459,-1.1895517711,0.35,0.220000075575,8.70612679466e-08,101127.5252272252
2022-04-06 00:12:18.488000+00:00,AT_O_20220405_000222,AT_O_20220405_000223,AT_O_20220405_000224,5.0,1649204063.1247888,1649203942.8514936,1649204012.5583034,SDSSg,40.69953109963639,30.402479830089476,-179.9833893093031,-3.95440136476,2.26675612123,-1.0916456032,0.350000096895,0.220000608847,0.0,49933.86609793528
2022-04-06 01:47:29.971000+00:00,AT_O_20220405_000271,AT_O_20220405_000272,AT_O_20220405_000273,5.0,1649209774.5477276,1649209654.3414776,1649209724.6037111,empty_1,-0.9210747426047289,44.80450608316938,180.68173510491866,-3.93484457411,2.24658261457,-1.13604236705,0.349999993115,0.219999573418,-2.32872749776e-07,76901.74275693225
2022-04-06 04:41:37.623000+00:00,AT_O_20220405_000449,AT_O_20220405_000450,AT_O_20220405_000451,5.0,1649220215.0189204,1649220111.9818401,1649220162.9362674,SDSSi,-0.9755139218913802,57.57041136674182,153.38469895345185,-3.94822868104,2.22769497733,-1.16922219504,0.350001065273,0.219998608019,8.41226451579e-07,96811.38847871672
2022-04-06 05:34:17.084000+00:00,AT_O_20220405_000533,AT_O_20220405_000534,AT_O_20220405_000535,5.0,1649223373.7208989,1649223271.443851,1649223321.5617328,SDSSi,-17.997431734944694,61.673075677356394,164.99184263463832,-3.93236772126,2.17514649651,-1.18676302625,0.349999461201,0.22,0.0,102120.88936132815
2022-04-06 06:26:41.873000+00:00,AT_O_20220405_000602,AT_O_20220405_000603,AT_O_20220405_000604,5.0,1649226528.9375837,1649226406.2263777,1649226476.6691182,SDSSg,-1.0437666244485537,61.98348678258829,180.89170579467248,-3.92881726794,2.17515473073,-1.19901091292,0.350000493121,0.22,8.13722735772e-07,102506.73285376324
2022-04-06 08:43:35.732000+00:00,AT_O_20220405_000803,AT_O_20220405_000804,AT_O_20220405_000805,5.0,1649234744.0630379,1649234620.0924401,1649234691.1411278,empty_1,-0.7669285566853048,59.680014275001895,234.33556291334452,-3.94728135512,2.27094870036,-1.19031705599,0.349999979756,0.220000233644,0.0,99425.39159760815
